filepath,theta_rad,sin,cos
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\000-KakaoTalk_20250827_195138253_05.png,2.25972072,0.77193024,-0.63570725
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\001-KakaoTalk_20250827_195352715_28.png,2.34844271,0.71256682,-0.70160425
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\002-KakaoTalk_20250827_202454020.png,5.98468638,-0.29408585,0.95577901
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\003-KakaoTalk_20250827_202454020_02.png,5.98030044,-0.29827499,0.95447998
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\004-KakaoTalk_20250827_202454020_04.png,5.84923194,-0.42046101,0.90731061
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\006-KakaoTalk_20250827_215217022_01.png,5.53374286,-0.68123070,0.73206881
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\007-KakaoTalk_20250827_202454020_07.png,5.64427132,-0.59632400,0.80274385
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\009-KakaoTalk_20250827_202454020_09.png,5.53776583,-0.67828010,0.73480344
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\010-KakaoTalk_20250827_202454020_10.png,5.44598169,-0.74277373,0.66954252
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\011-KakaoTalk_20250827_202454020_11.png,5.17603659,-0.89442719,0.44721360
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\012-KakaoTalk_20250827_195210369.png,1.57079633,1.00000000,0.00000000
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\013-KakaoTalk_20250827_195210369_03.png,1.45591972,0.99340894,0.11462411
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\014-KakaoTalk_20250827_195210369_01.png,1.46252574,0.99414446,0.10805918
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\015-KakaoTalk_20250827_195210369_05.png,1.45306375,0.99307752,0.11746078
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\016-KakaoTalk_20250827_195210369_06.png,1.36947922,0.97980406,0.19996001
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\017-KakaoTalk_20250827_202454020_13.png,5.29404246,-0.83555536,0.54940626
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\018-KakaoTalk_20250827_195210369_07.png,1.21348764,0.93684151,0.34975417
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\019-KakaoTalk_20250827_195210369_10.png,1.08334369,0.88352885,0.46837674
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\020-KakaoTalk_20250827_195210369_09.png,1.01776488,0.85093611,0.52526920
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\021-KakaoTalk_20250827_195210369_12.png,0.95663690,0.81725813,0.57627176
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\022-KakaoTalk_20250827_195210369_13.png,1.01981384,0.85201058,0.52352457
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\023-KakaoTalk_20250827_195210369_14.png,0.85988695,0.75776880,0.65252314
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\024-KakaoTalk_20250827_195210369_16.png,0.79303160,0.71248378,0.70168858
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\025-KakaoTalk_20250827_195210369_15.png,0.74782187,0.68004343,0.73317183
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\026-KakaoTalk_20250827_195210369_17.png,0.64350111,0.60000000,0.80000000
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\027-KakaoTalk_20250827_195210369_18.png,0.60554466,0.56920998,0.82219219
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\028-KakaoTalk_20250827_195210369_22.png,0.52958960,0.50517920,0.86301447
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\029-KakaoTalk_20250827_195210369_19.png,0.52161830,0.49828388,0.86701394
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\030-KakaoTalk_20250827_195210369_20.png,0.40187065,0.39114064,0.92033092
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\031-KakaoTalk_20250827_195210369_25.png,0.35144479,0.34425465,0.93887632
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\032-KakaoTalk_20250827_195210369_26.png,0.29256177,0.28840608,0.95750819
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\033-KakaoTalk_20250827_195210369_27.png,0.25518239,0.25242190,0.96761727
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\034-KakaoTalk_20250827_195210369_28.png,0.15824032,0.15758076,0.98750610
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\035-KakaoTalk_20250827_195210369_29.png,0.13402320,0.13362234,0.99103233
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\036-KakaoTalk_20250827_195240314.png,0.08063288,0.08054553,0.99675093
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\037-KakaoTalk_20250827_195240314_01.png,6.26235499,-0.02082881,0.99978306
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\038-KakaoTalk_20250827_195240314_02.png,6.15621252,-0.12663189,0.99194978
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\039-KakaoTalk_20250827_195240314_05.png,6.15596909,-0.12687335,0.99191892
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\040-KakaoTalk_20250827_195240314_03.png,6.03573140,-0.24493622,0.96953919
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\041-KakaoTalk_20250827_195027544_01.png,6.16669385,-0.11622817,0.99322254
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\042-KakaoTalk_20250827_195027544_03.png,6.04846269,-0.23257321,0.97257889
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\043-KakaoTalk_20250827_195027544_04.png,6.00195311,-0.27753965,0.96071418
